Sentence 1	Sentence 2	Combined	Concept Strings	Concept Synsets
man is wearing sneakers	A man in a red shirt	man is wearing sneakers and A man in a red shirt	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
man is wearing sneakers	a man is wearing glasses	man is wearing sneakers and a man is wearing glasses	['man', 'sneakers', 'glasses']	['man.n.01', 'gym_shoe.n.01', 'spectacles.n.01']
man is wearing sneakers	a man has brown shoes on 	man is wearing sneakers and a man has brown shoes on 	['man', 'sneakers', 'shoes']	['man.n.01', 'gym_shoe.n.01', 'shoe.n.01']
man is wearing sneakers	A man dressed in a red shirt and black pants. 	man is wearing sneakers and A man dressed in a red shirt and black pants. 	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
man is wearing sneakers	A man dressed in a red shirt and black pants. 	man is wearing sneakers and A man dressed in a red shirt and black pants. 	['man', 'sneakers', 'pants']	['man.n.01', 'gym_shoe.n.01', 'trouser.n.01']
man is wearing sneakers	A man wearing a gray jacket and gray pants. 	man is wearing sneakers and A man wearing a gray jacket and gray pants. 	['man', 'sneakers', 'jacket']	['man.n.01', 'gym_shoe.n.01', 'jacket.n.01']
man is wearing sneakers	A man wearing a gray jacket and gray pants. 	man is wearing sneakers and A man wearing a gray jacket and gray pants. 	['man', 'sneakers', 'pants']	['man.n.01', 'gym_shoe.n.01', 'trouser.n.01']
man is wearing sneakers	man is wearing red tshirt	man is wearing sneakers and man is wearing red tshirt	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
man is wearing sneakers	man is holding his chin	man is wearing sneakers and man is holding his chin	['man', 'sneakers', 'chin']	['man.n.01', 'gym_shoe.n.01', 'chin.n.01']
man is wearing sneakers	man is wearing brown shoes	man is wearing sneakers and man is wearing brown shoes	['man', 'sneakers', 'shoes']	['man.n.01', 'gym_shoe.n.01', 'shoe.n.01']
man is wearing sneakers	man is wearing glasses	man is wearing sneakers and man is wearing glasses	['man', 'sneakers', 'glasses']	['man.n.01', 'gym_shoe.n.01', 'spectacles.n.01']
man is wearing sneakers	the man wears a red t shirt 	man is wearing sneakers and the man wears a red t shirt 	['man', 'sneakers', 'shirt']	['man.n.01', 'gym_shoe.n.01', 'shirt.n.01']
man is wearing sneakers	a man in glasses	man is wearing sneakers and a man in glasses	['man', 'sneakers', 'glasses']	['man.n.01', 'gym_shoe.n.01', 'spectacles.n.01']
man is wearing sneakers	A man in a gray hoodie	man is wearing sneakers and A man in a gray hoodie	['man', 'sneakers', 'jacket']	['man.n.01', 'gym_shoe.n.01', 'jacket.n.01']
